"","Id","name","popularity","followers","profile","images","genre"
"112",242,"Jonathan Edwards",49,24347,"https://open.spotify.com/artist/7gyVuJLsatWofXCAw1SGxM","https://i.scdn.co/image/07005c54e5c6a21404bb48cf6e7d8e23fe777fea","folk"
"113",248,"JD Souther",42,55752,"https://open.spotify.com/artist/0I7UnRLIdCD310ZBgeuqh5","https://i.scdn.co/image/80009948e117ff9e75284daa9b3279dadadfbf67","folk rock"
"114",249,"The Ozark Mountain Daredevils",48,166839,"https://open.spotify.com/artist/7jM2XoJBKhdL8oNnDr4re9","https://i.scdn.co/image/ab676161000051744f513dc179897605e6bb2921","classic rock"
"115",251,"Harry Chapin",54,314428,"https://open.spotify.com/artist/42q4Ivs7tAiCZ5C7eG5q4c","https://i.scdn.co/image/ab67616d00001e028756752bf0c0720a41c95bbc","country rock"
"116",252,"Jesse Colin Young",35,46135,"https://open.spotify.com/artist/2pJn4djuWrNQbNfrxHB13M","https://i.scdn.co/image/ab67616100005174bd37fef5b2562e757ff71ecc","folk"
"117",271,"Chris Hillman",36,16859,"https://open.spotify.com/artist/70FybmH2MMz9fHewhnLvjs","https://i.scdn.co/image/ab67616100005174f11c1bd0178c61837deb70a4","roots rock"
"118",272,"New Riders of the Purple Sage",38,92210,"https://open.spotify.com/artist/2D3v3HJ9k3UzehaewnT3QA","https://i.scdn.co/image/ab6761610000517460bdbf5ea56d4b938d785c05","cosmic american"
"119",290,"Daryl Hall & John Oates",74,2024555,"https://open.spotify.com/artist/77tT1kLj6mCWtFNqiOmP9H","https://i.scdn.co/image/ab67616100005174ae81417d966e209b735b1160","classic rock"
"120",292,"The Romantics",58,343028,"https://open.spotify.com/artist/3daM7asS0gCFvyLemNx2EE","https://i.scdn.co/image/ab67616100005174b39679d47a3857df9ad4a750","classic rock"
"121",294,"Kenny Loggins",70,933528,"https://open.spotify.com/artist/3Y3xIwWyq5wnNHPp5gPjOW","https://i.scdn.co/image/ab67616100005174e5ade0d346536449c7a75b48","mellow gold"
"122",298,"The Cars",68,1549642,"https://open.spotify.com/artist/6DCIj8jNaNpBz8e5oKFPtp","https://i.scdn.co/image/8d639299dee8947d3142135f4f84dff636ff9516","art rock"
"123",312,"Howard Jones",52,374943,"https://open.spotify.com/artist/6loBF9iQdE11WSX29fNKqY","https://i.scdn.co/image/ab6761610000517493e7c004e39b91f88d1088af","new romantic"
"124",313,"ABC",55,337797,"https://open.spotify.com/artist/2s79xe5F6eUQkjwjww27Fh","https://i.scdn.co/image/a171d1f68d74b323e0bfd32f7bab6bb52ccf0e79","dance rock"
