"","Vertex1","Vertex2"
"2626","jackson browne","seals and crofts"
"2627","joan osborne","little river band"
"2628","james taylor","firefall"
"2629","melissa etheridge","dave mason"
"2630","joshua kadison","stephen bishop"
"2631","bonnie raitt","orleans"
"2632","shawn colvin","atlanta rhythm section"
"2633","natalie merchant","gino vannelli"
"2634","sheryl crow","jefferson starship"
"2635","jennifer warnes","dan fogelberg"
"2636","amanda marshall","paul davis"
"2637","tracy chapman","pure prairie league"
"2638","van morrison","nicolette larson"
"2639","bruce springsteen","michael mcdonald"
"2640","billy joel","donald fagen"
"2641","carly simon","bob welch"
"2642","mr. mister","jonathan edwards"
"2643","cutting crew","dan fogelberg"
"2644","steve perry","seals and crofts"
"2645","peter cetera","harry chapin"
"2646","paul carrack","jesse colin young"
"2647","quarterflash","orleans"
"2648","daryl hall","atlanta rhythm section"
"2649","john waite","jefferson starship"
"2650","lou gramm","boz scaggs"
"2651","christopher cross","bob welch"
"2652","sheena easton","ambrosia"
"2653","starship","the ozark mountain daredevils"
"2654","mike + the mechanics","loggins & messina"
"2655","wang chung","dave mason"
"2656","john waite","jesse colin young"
"2657","go west","atlanta rhythm section"
"2658","johnny hates jazz","jonathan edwards"
"2659","glenn frey","stephen stills"
"2660","rick springfield","chris hillman"
"2661","glass tiger","new riders of the purple sage"
"2662","richard marx","jefferson starship"
"2663","steve perry","dan fogelberg"
"2664","lou gramm","pablo cruise"
"2665","paul young","orleans"
"2666","kim carnes","crosby, stills & nash"
"2667","nik kershaw","little river band"
"2668","richard marx","mr. mister"
"2669","robert palmer","glenn frey"
"2670","nik kershaw","starship"
"2671","level 42","daryl hall & john oates"
"2672","the hooters","steve perry"
"2673","glenn frey","the romantics"
"2674","don henley","38 special"
"2675","chris de burgh","kenny loggins"
"2676","cock robin","corey hart"
"2677","go west","robert palmer"
"2678","fine young cannibals","the cars"
"2679","glass tiger","billy squier"
"2680","james taylor","fine young cannibals"
"2681","crosby, stills & nash","level 42"
"2682","poco","the power station"
"2683","don henley","mike + the mechanics"
"2684","gordon lightfoot","johnny hates jazz"
"2685","pure prairie league","huey lewis & the news"
"2686","firefall","howard jones"
"2687","dave mason","abc"
"2688","boz scaggs","the romantics"
"2689","bruce hornsby","joe jackson"
"2690","van morrison","nik kershaw"
"2691","jefferson starship","bryan ferry"
"2692","little river band","thompson twins"
"2693","stephen stills","rick springfield"
"2694","christine mcvie","corey hart"
"2695","pete townshend","john parr"
"2696","warren zevon","lou gramm"
"2697","al stewart","honeymoon suite"
"2698","jefferson starship","quarterflash"
"2699","traveling wilburys","red rider"
"2700","jeff lynne","platinum blonde"
"2701","julian lennon","starship"
"2702","todd rundgren","wang chung"
"2703","joe walsh","gowan"
"2704","robert plant","benjamin orr"
"2705","pretenders","huey lewis & the news"
"2706","mudcrutch","tom cochrane"
"2707","quarterflash","bob welch"
"2708","glass tiger","ambrosia"
"2709","corey hart","poco"
"2710","eddie money","paul davis"
"2711","cutting crew","jefferson starship"
"2712","reo speedwagon","the ozark mountain daredevils"
"2713","night ranger","loggins & messina"
"2714","jefferson starship","nicolette larson"
"2715","starship","player"
"2716","the babys","stephen bishop"
"2717","john parr","england dan & john ford coley"
"2718","huey lewis & the news","dave mason"
"2719","head east","seals and crofts"
"2720","gary wright","firefall"
"2721","ambrosia","orleans"
"2722","eddie money","david gates"
"2723","38 special","harry chapin"
"2724","orleans","bread"
"2725","three dog night","rita coolidge"
"2726","paul davis","captain & tennille"
"2727","bachman-turner overdrive","melissa manchester"
"2728","billy squier","robbie dupree"
"2729","38 special","player"
"2730","the j. geils band","pablo cruise"
"2731","rick springfield","stephen bishop"
"2732","jefferson starship","orleans"
"2733","huey lewis & the news","bertie higgins"
"2734","joe walsh","bob welch"
"2735","boston","christopher cross"
"2736","styx","england dan & john ford coley"
"2737","heart","melissa manchester"
"2738","the babys","captain & tennille"
"2739","head east","gary wright"
"2740","pat benatar","dan fogelberg"
"2741","night ranger","robert john"
"2742","john mellencamp","david gates"
"2743","pablo cruise","steve winwood"
"2744","stephen bishop","jackson browne"
"2745","orleans","rick springfield"
"2746","gino vannelli","38 special"
"2747","jefferson starship","reo speedwagon"
"2748","dan fogelberg","the j. geils band"
"2749","poco","joe walsh"
"2750","pure prairie league","loverboy"
"2751","nicolette larson","steve perry"
"2752","michael mcdonald","firefall"
"2753","donald fagen","mike + the mechanics"
"2754","bob welch","the doobie brothers"
"2755","jonathan edwards","bruce hornsby"
"2756","seals and crofts","robert palmer"
"2757","jd souther","eddie money"
"2758","harry chapin","ambrosia"
"2759","jesse colin young","boz scaggs"
"2760","little river band","jackson browne"
"2761","ambrosia","atlanta rhythm section"
"2762","crosby, stills & nash","christopher cross"
"2763","pure prairie league","shawn mullins"
"2764","firefall","jackson browne"
"2765","the ozark mountain daredevils","don henley"
"2766","loggins & messina","joan osborne"
"2767","dave mason","james taylor"
"2768","jesse colin young","melissa etheridge"
"2769","atlanta rhythm section","joshua kadison"
"2770","jonathan edwards","bonnie raitt"
"2771","stephen stills","shawn colvin"
"2772","chris hillman","natalie merchant"
"2773","new riders of the purple sage","sheryl crow"
"2774","jefferson starship","jennifer warnes"
"2775","pablo cruise","tracy chapman"
"2776","orleans","van morrison"
"2777","bob welch","bruce springsteen"
"2778","crosby, stills & nash","billy joel"
"2779","little river band","carly simon"
"2780","loverboy","steve perry"
"2781","reo speedwagon","paul davis"
"2782","glenn frey","eric carmen"
"2783","starship","corey hart"
"2784","daryl hall & john oates","glass tiger"
"2785","steve perry","peter cetera"
"2786","the romantics","paul carrack"
"2787","38 special","quarterflash"
"2788","kenny loggins","daryl hall"
"2789","robert palmer","john waite"
"2790","steve winwood","lou gramm"
"2791","the cars","christopher cross"
"2792","the j. geils band","sheena easton"
"2793","billy squier","ambrosia"
"2794","fine young cannibals","cutting crew"
"2795","level 42","corey hart"
"2796","the power station","john parr"
"2797","mr. mister","wang chung"
"2798","howard jones","glass tiger"
"2799","abc","richard marx"
"2800","the romantics","steve perry"
"2801","joe jackson","the power station"
"2802","nik kershaw","lou gramm"
"2803","bryan ferry","huey lewis & the news"
"2804","thompson twins","kim carnes"
"2805","corey hart","mr. mister"
"2806","john parr","cutting crew"
"2807","lou gramm","paul carrack"
"2808","cutting crew","paul young"
"2809","mr. mister","richard marx"
"2810","loverboy","johnny hates jazz"
"2811","rick springfield","robert palmer"
"2812","john waite","nik kershaw"
"2813","honeymoon suite","level 42"
"2814","quarterflash","the hooters"
"2815","red rider","glenn frey"
"2816","platinum blonde","don henley"
"2817","starship","chris de burgh"
"2818","glenn frey","cock robin"
"2819","wang chung","go west"
"2820","gowan","starship"
"2821","benjamin orr","fine young cannibals"
"2822","huey lewis & the news","bruce hornsby"
"2823","tom cochrane","glass tiger"
"2824","pablo cruise","james taylor"
"2825","orleans","crosby, stills & nash"
"2826","seals and crofts","poco"
"2827","gary wright","loggins & messina"
"2828","bob welch","don henley"
"2829","little river band","warren zevon"
"2830","ambrosia","dan fogelberg"
"2831","pure prairie league","jim croce"
"2832","poco","gordon lightfoot"
"2833","paul davis","pure prairie league"
"2834","the ozark mountain daredevils","firefall"
"2835","loggins & messina","dave mason"
"2836","dan fogelberg","boz scaggs"
"2837","nicolette larson","bruce hornsby"
"2838","player","van morrison"
"2839","stephen bishop","jefferson starship"
"2840","england dan & john ford coley","little river band"
"2841","dave mason","stephen stills"
"2842","seals and crofts","christine mcvie"
"2843","firefall","pete townshend"
"2844","loggins & messina","warren zevon"
"2845","pablo cruise","jackson browne"
"2846","art garfunkel","al stewart"
"2847","poco","jefferson starship"
"2848","david gates","traveling wilburys"
"2849","ambrosia","jeff lynne"
"2850","harry chapin","julian lennon"
"2851","jd souther","boz scaggs"
"2852","bread","todd rundgren"
"2853","rita coolidge","robert plant"
"2854","captain & tennille","pretenders"
"2855","melissa manchester","mudcrutch"
"2856","ambrosia","lou gramm"
"2857","robbie dupree","john waite"
"2858","player","rick springfield"
"2859","stephen bishop","quarterflash"
"2860","nicolette larson","glass tiger"
"2861","orleans","glenn frey"
"2862","bob welch","eddie money"
"2863","christopher cross","cutting crew"
"2864","england dan & john ford coley","night ranger"
"2865","melissa manchester","38 special"
"2866","captain & tennille","starship"
"2867","robert john","john parr"
"2868","david gates","huey lewis & the news"
"2869","glenn frey","loverboy"
"2870","steve winwood","billy squier"
"2871","eddie money","38 special"
"2872","john mellencamp","don henley"
"2873","rick springfield","huey lewis & the news"
"2874","38 special","boston"
"2875","mr. mister","heart"
"2876","joe walsh","sammy hagar"
"2877","loverboy","the babys"
"2878","steve perry","head east"
"2879","firefall","pat benatar"
"2880","mike + the mechanics","night ranger"
"2881","the doobie brothers","john mellencamp"
"2882","mike + the mechanics","firefall"
"2883","jefferson starship","dave mason"
"2884","eddie money","stephen bishop"
"2885","mr. mister","atlanta rhythm section"
"2886","ambrosia","gino vannelli"
"2887","the j. geils band","dan fogelberg"
"2888","38 special","pure prairie league"
"2889","glass tiger","nicolette larson"
"2890","wang chung","michael mcdonald"
"2891","atlanta rhythm section","donald fagen"
"2892","shawn mullins","pure prairie league"
"2893","bruce hornsby","jonathan edwards"
"2894","jackson browne","dan fogelberg"
"2895","don henley","seals and crofts"
"2896","joan osborne","poco"
"2897","joshua kadison","jd souther"
"2898","bonnie raitt","the ozark mountain daredevils"
"2899","natalie merchant","harry chapin"
"2900","sheryl crow","jesse colin young"
"2901","jennifer warnes","orleans"
"2902","amanda marshall","atlanta rhythm section"
"2903","carole king","little river band"
"2904","tracy chapman","jefferson starship"
"2905","van morrison","boz scaggs"
"2906","bruce springsteen","bob welch"
"2907","billy joel","ambrosia"
"2908","carly simon","crosby, stills & nash"
"2909","mr. mister","jd souther"
"2910","steve perry","the ozark mountain daredevils"
"2911","paul davis","dave mason"
"2912","eric carmen","jesse colin young"
"2913","peter cetera","chris hillman"
"2914","paul carrack","new riders of the purple sage"
"2915","daryl hall","dan fogelberg"
"2916","sheena easton","crosby, stills & nash"
"2917","john parr","eddie money"
"2918","john waite","glenn frey"
"2919","go west","pat benatar"
"2920","johnny hates jazz","starship"
"2921","glenn frey","daryl hall & john oates"
"2922","glass tiger","the romantics"
"2923","richard marx","38 special"
"2924","steve perry","kenny loggins"
"2925","the power station","corey hart"
"2926","lou gramm","robert palmer"
"2927","huey lewis & the news","the cars"
"2928","kim carnes","the j. geils band"
"2929","nik kershaw","billy squier"
"2930","mr. mister","fine young cannibals"
"2931","cutting crew","level 42"
"2932","paul carrack","the power station"
"2933","richard marx","mike + the mechanics"
"2934","nik kershaw","johnny hates jazz"
"2935","level 42","huey lewis & the news"
"2936","the hooters","glenn frey"
"2937","glenn frey","howard jones"
"2938","don henley","abc"
"2939","chris de burgh","the romantics"
"2940","cock robin","joe jackson"
"2941","go west","nik kershaw"
"2942","fine young cannibals","bryan ferry"
"2943","bruce hornsby","thompson twins"
"2944","james taylor","corey hart"
"2945","crosby, stills & nash","john parr"
"2946","poco","lou gramm"
"2947","warren zevon","loverboy"
"2948","jim croce","steve perry"
"2949","gordon lightfoot","john waite"
"2950","pure prairie league","honeymoon suite"
"2951","seals and crofts","quarterflash"
"2952","firefall","red rider"
"2953","dave mason","platinum blonde"
"2954","boz scaggs","starship"
"2955","bruce hornsby","glenn frey"
"2956","van morrison","wang chung"
"2957","jefferson starship","benjamin orr"
"2958","stephen stills","tom cochrane"
"2959","christine mcvie","pablo cruise"
"2960","pete townshend","orleans"
"2961","glenn frey","bob welch"
"2962","jackson browne","ambrosia"
"2963","al stewart","paul davis"
"2964","traveling wilburys","the ozark mountain daredevils"
"2965","jeff lynne","loggins & messina"
"2966","boz scaggs","nicolette larson"
"2967","todd rundgren","player"
"2968","robert plant","stephen bishop"
"2969","pretenders","england dan & john ford coley"
"2970","mudcrutch","dave mason"
"2971","john waite","firefall"
"2972","quarterflash","paul davis"
"2973","glenn frey","england dan & john ford coley"
"2974","corey hart","little river band"
"2975","eddie money","art garfunkel"
"2976","reo speedwagon","david gates"
"2977","starship","bread"
"2978","the babys","rita coolidge"
"2979","john parr","captain & tennille"
"2980","huey lewis & the news","melissa manchester"
"2981","gary wright","robbie dupree"
"2982","atlanta rhythm section","stephen bishop"
"2983","the babys","nicolette larson"
"2984","the j. geils band","orleans"
"2985","bob welch","bertie higgins"
"2986","joe walsh","christopher cross"
"2987","eddie money","little river band"
"2988","loverboy","england dan & john ford coley"
"2989","38 special","melissa manchester"
"2990","orleans","captain & tennille"
"2991","three dog night","dan fogelberg"
"2992","paul davis","robert john"
"2993","loverboy","glenn frey"
"2994","billy squier","steve winwood"
"2995","the j. geils band","bruce hornsby"
"2996","don henley","john mellencamp"
"2997","joe walsh","little river band"
"2998","boston","38 special"
"2999","bachman-turner overdrive","reo speedwagon"
"3000","styx","the j. geils band"
"3001","heart","mr. mister"
"3002","sammy hagar","joe walsh"
"3003","the babys","loverboy"
"3004","head east","steve perry"
"3005","pat benatar","firefall"
"3006","night ranger","mike + the mechanics"
"3007","john mellencamp","the doobie brothers"
"3008","loggins & messina","robert palmer"
"3009","stephen bishop","eddie money"
"3010","gino vannelli","ambrosia"
"3011","jefferson starship","boz scaggs"
"3012","poco","jackson browne"
"3013","pure prairie league","38 special"
"3014","michael mcdonald","wang chung"
"3015","donald fagen","atlanta rhythm section"
"3016","bob welch","christopher cross"
"3017","poco","joan osborne"
"3018","dave mason","melissa etheridge"
"3019","jd souther","joshua kadison"
"3020","the ozark mountain daredevils","bonnie raitt"
"3021","pablo cruise","shawn colvin"
"3022","harry chapin","natalie merchant"
"3023","jesse colin young","sheryl crow"
"3024","orleans","jennifer warnes"
"3025","atlanta rhythm section","amanda marshall"
"3026","little river band","carole king"
"3027","jefferson starship","tracy chapman"
"3028","boz scaggs","van morrison"
"3029","ambrosia","billy joel"
"3030","crosby, stills & nash","carly simon"
"3031","jd souther","mr. mister"
"3032","the ozark mountain daredevils","steve perry"
"3033","loggins & messina","rick springfield"
"3034","dave mason","paul davis"
"3035","jesse colin young","eric carmen"
"3036","jonathan edwards","corey hart"
"3037","stephen stills","glass tiger"
"3038","chris hillman","peter cetera"
"3039","new riders of the purple sage","paul carrack"
"3040","orleans","lou gramm"
"3041","crosby, stills & nash","sheena easton"
"3042","don henley","corey hart"
"3043","reo speedwagon","wang chung"
"3044","glenn frey","john waite"
"3045","pat benatar","go west"
"3046","daryl hall & john oates","glenn frey"
"3047","steve perry","rick springfield"
"3048","the romantics","glass tiger"
"3049","38 special","richard marx"
"3050","kenny loggins","steve perry"
"3051","corey hart","the power station"
"3052","robert palmer","lou gramm"
"3053","steve winwood","paul young"
"3054","the cars","huey lewis & the news"
"3055","the j. geils band","kim carnes"
"3056","billy squier","nik kershaw"
"3057","fine young cannibals","mr. mister"
"3058","level 42","cutting crew"
"3059","the power station","paul carrack"
"3060","mr. mister","johnny hates jazz"
"3061","wang chung","robert palmer"
"3062","huey lewis & the news","level 42"
"3063","glenn frey","the hooters"
"3064","howard jones","glenn frey"
"3065","abc","don henley"
"3066","the romantics","chris de burgh"
"3067","joe jackson","cock robin"
"3068","nik kershaw","go west"
"3069","bryan ferry","fine young cannibals"
"3070","thompson twins","bruce hornsby"
"3071","rick springfield","glass tiger"
"3072","corey hart","james taylor"
"3073","lou gramm","poco"
"3074","cutting crew","loggins & messina"
"3075","mr. mister","don henley"
"3076","loverboy","warren zevon"
"3077","steve perry","jim croce"
"3078","john waite","gordon lightfoot"
"3079","honeymoon suite","pure prairie league"
"3080","quarterflash","seals and crofts"
"3081","red rider","firefall"
"3082","platinum blonde","dave mason"
"3083","glenn frey","bruce hornsby"
"3084","wang chung","van morrison"
"3085","gowan","steve winwood"
"3086","benjamin orr","jefferson starship"
"3087","tom cochrane","stephen stills"
"3088","pablo cruise","christine mcvie"
"3089","orleans","pete townshend"
"3090","seals and crofts","warren zevon"
"3091","little river band","don henley"
"3092","ambrosia","jackson browne"
"3093","paul davis","al stewart"
"3094","the ozark mountain daredevils","traveling wilburys"
"3095","loggins & messina","jeff lynne"
"3096","dan fogelberg","julian lennon"
"3097","player","todd rundgren"
"3098","atlanta rhythm section","joe walsh"
"3099","stephen bishop","robert plant"
"3100","england dan & john ford coley","pretenders"
"3101","dave mason","mudcrutch"
"3102","firefall","john waite"
"3103","stephen bishop","loverboy"
"3104","paul davis","quarterflash"
"3105","pablo cruise","glass tiger"
"3106","england dan & john ford coley","glenn frey"
"3107","art garfunkel","eddie money"
"3108","poco","cutting crew"
"3109","ambrosia","night ranger"
"3110","jd souther","jefferson starship"
"3111","bread","starship"
"3112","rita coolidge","the babys"
"3113","captain & tennille","john parr"
"3114","melissa manchester","huey lewis & the news"
"3115","ambrosia","head east"
"3116","robbie dupree","gary wright"
"3117","player","firefall"
"3118","firefall","ambrosia"
"3119","nicolette larson","the babys"
"3120","bob welch","pablo cruise"
"3121","christopher cross","joe walsh"
"3122","england dan & john ford coley","loverboy"
"3123","captain & tennille","orleans"
"3124","gary wright","pure prairie league"
"3125","dan fogelberg","three dog night"
"3126","robert john","paul davis"
"3127","david gates","bachman-turner overdrive"
"3128","steve winwood","pablo cruise"
"3129","jefferson starship","firefall"
"3130","jackson browne","stephen bishop"
"3131","rick springfield","orleans"
"3132","little river band","atlanta rhythm section"
"3133","38 special","gino vannelli"
"3134","steve perry","nicolette larson"
"3135","firefall","michael mcdonald"
"3136","mike + the mechanics","donald fagen"
"3137","the doobie brothers","bob welch"
"3138","glenn frey","dan fogelberg"
"3139","robert palmer","seals and crofts"
"3140","eddie money","jd souther"
"3141","ambrosia","harry chapin"
"3142","boz scaggs","jesse colin young"
"3143","jackson browne","little river band"
"3144","glass tiger","boz scaggs"
"3145","wang chung","bob welch"
"3146","atlanta rhythm section","ambrosia"
"3147","christopher cross","crosby, stills & nash"
"3148","bruce hornsby","jd souther"
"3149","don henley","the ozark mountain daredevils"
"3150","joan osborne","loggins & messina"
"3151","james taylor","dave mason"
"3152","melissa etheridge","jesse colin young"
"3153","joshua kadison","atlanta rhythm section"
"3154","bonnie raitt","jonathan edwards"
"3155","shawn colvin","stephen stills"
"3156","natalie merchant","chris hillman"
"3157","sheryl crow","new riders of the purple sage"
"3158","jennifer warnes","jefferson starship"
"3159","amanda marshall","dan fogelberg"
"3160","carole king","seals and crofts"
"3161","tracy chapman","pablo cruise"
"3162","billy joel","crosby, stills & nash"
"3163","carly simon","little river band"
"3164","cutting crew","eddie money"
"3165","eric carmen","glenn frey"
"3166","glass tiger","daryl hall & john oates"
"3167","peter cetera","steve perry"
"3168","paul carrack","the romantics"
"3169","daryl hall","kenny loggins"
"3170","christopher cross","the cars"
"3171","sheena easton","the j. geils band"
"3172","ambrosia","billy squier"
"3173","cutting crew","fine young cannibals"
"3174","corey hart","level 42"
"3175","john parr","the power station"
"3176","john waite","wang chung"
"3177","glenn frey","huey lewis & the news"
"3178","glass tiger","howard jones"
"3179","richard marx","abc"
"3180","steve perry","the romantics"
"3181","the power station","joe jackson"
"3182","lou gramm","nik kershaw"
"3183","huey lewis & the news","bryan ferry"
"3184","kim carnes","thompson twins"
"3185","nik kershaw","rick springfield"
"3186","paul carrack","lou gramm"
"3187","johnny hates jazz","loverboy"
"3188","robert palmer","rick springfield"
"3189","level 42","honeymoon suite"
"3190","the hooters","quarterflash"
"3191","glenn frey","red rider"
"3192","don henley","platinum blonde"
"3193","chris de burgh","starship"
"3194","cock robin","glenn frey"
"3195","go west","wang chung"
"3196","starship","gowan"
"3197","fine young cannibals","benjamin orr"
"3198","bruce hornsby","huey lewis & the news"
"3199","glass tiger","tom cochrane"
"3200","james taylor","pablo cruise"
"3201","crosby, stills & nash","orleans"
"3202","don henley","bob welch"
"3203","warren zevon","little river band"
"3204","jim croce","pure prairie league"
"3205","gordon lightfoot","poco"
"3206","pure prairie league","paul davis"
"3207","firefall","the ozark mountain daredevils"
"3208","dave mason","loggins & messina"
"3209","bruce hornsby","nicolette larson"
"3210","van morrison","player"
"3211","little river band","england dan & john ford coley"
"3212","stephen stills","dave mason"
"3213","christine mcvie","seals and crofts"
"3214","pete townshend","firefall"
"3215","warren zevon","loggins & messina"
"3216","bruce hornsby","stephen bishop"
"3217","glenn frey","paul davis"
"3218","jackson browne","pablo cruise"
"3219","al stewart","art garfunkel"
"3220","traveling wilburys","david gates"
"3221","jeff lynne","ambrosia"
"3222","julian lennon","harry chapin"
"3223","boz scaggs","jd souther"
"3224","todd rundgren","bread"
"3225","robert plant","rita coolidge"
"3226","pretenders","captain & tennille"
"3227","mudcrutch","melissa manchester"
"3228","john waite","robbie dupree"
"3229","rick springfield","player"
"3230","quarterflash","stephen bishop"
"3231","glenn frey","orleans"
"3232","corey hart","bertie higgins"
"3233","eddie money","bob welch"
"3234","cutting crew","christopher cross"
"3235","starship","captain & tennille"
"3236","the babys","dan fogelberg"
"3237","john parr","robert john"
"3238","huey lewis & the news","david gates"
"3239","head east","glenn frey"
"3240","little river band","bruce hornsby"
"3241","the babys","john mellencamp"
"3242","the j. geils band","jackson browne"
"3243","joe walsh","38 special"
"3244","eddie money","reo speedwagon"
"3245","38 special","mr. mister"
"3246","orleans","loverboy"
"3247","three dog night","firefall"
"3248","bachman-turner overdrive","the doobie brothers"
"3249","billy squier","bruce hornsby"
"3250","38 special","glenn frey"
"3251","the j. geils band","robert palmer"
"3252","jefferson starship","eddie money"
"3253","joe walsh","mr. mister"
"3254","boston","ambrosia"
"3255","bachman-turner overdrive","boz scaggs"
"3256","heart","rick springfield"
"3257","sammy hagar","jackson browne"
"3258","the babys","38 special"
"3259","head east","glass tiger"
"3260","pat benatar","wang chung"
"3261","night ranger","atlanta rhythm section"
"3262","john mellencamp","christopher cross"
"3263","little river band","joan osborne"
"3264","stephen bishop","joshua kadison"
"3265","orleans","bonnie raitt"
"3266","atlanta rhythm section","shawn colvin"
"3267","gino vannelli","natalie merchant"
"3268","jefferson starship","sheryl crow"
"3269","dan fogelberg","jennifer warnes"
"3270","paul davis","amanda marshall"
"3271","poco","carole king"
"3272","pure prairie league","tracy chapman"
"3273","nicolette larson","van morrison"
"3274","michael mcdonald","bruce springsteen"
"3275","donald fagen","billy joel"
"3276","bob welch","carly simon"
"3277","jonathan edwards","mr. mister"
"3278","dan fogelberg","cutting crew"
"3279","dave mason","eric carmen"
"3280","the ozark mountain daredevils","corey hart"
"3281","harry chapin","peter cetera"
"3282","jesse colin young","paul carrack"
"3283","orleans","quarterflash"
"3284","atlanta rhythm section","daryl hall"
"3285","little river band","starship"
"3286","boz scaggs","lou gramm"
"3287","ambrosia","sheena easton"
"3288","crosby, stills & nash","ambrosia"
"3289","pure prairie league","cutting crew"
"3290","jd souther","corey hart"
"3291","firefall","john parr"
"3292","jesse colin young","john waite"
"3293","atlanta rhythm section","go west"
"3294","stephen stills","glenn frey"
"3295","chris hillman","rick springfield"
"3296","new riders of the purple sage","glass tiger"
"3297","jefferson starship","richard marx"
"3298","pablo cruise","lou gramm"
"3299","orleans","paul young"
"3300","crosby, stills & nash","kim carnes"
"3301","reo speedwagon","johnny hates jazz"
"3302","glenn frey","robert palmer"
"3303","daryl hall & john oates","level 42"
"3304","steve perry","the hooters"
"3305","the romantics","glenn frey"
"3306","38 special","don henley"
"3307","kenny loggins","chris de burgh"
"3308","corey hart","cock robin"
"3309","robert palmer","go west"
"3310","steve winwood","starship"
"3311","the cars","fine young cannibals"
"3312","billy squier","glass tiger"
"3313","fine young cannibals","james taylor"
"3314","level 42","crosby, stills & nash"
"3315","mr. mister","warren zevon"
"3316","wang chung","dan fogelberg"
"3317","huey lewis & the news","pure prairie league"
"3318","howard jones","firefall"
"3319","abc","dave mason"
"3320","joe jackson","bruce hornsby"
"3321","nik kershaw","van morrison"
"3322","bryan ferry","jefferson starship"
"3323","thompson twins","little river band"
"3324","rick springfield","stephen stills"
"3325","corey hart","christine mcvie"
"3326","john parr","pete townshend"
"3327","lou gramm","warren zevon"
"3328","rick springfield","jackson browne"
"3329","john waite","bob welch"
"3330","honeymoon suite","al stewart"
"3331","red rider","traveling wilburys"
"3332","platinum blonde","jeff lynne"
"3333","starship","julian lennon"
"3334","glenn frey","boz scaggs"
"3335","wang chung","todd rundgren"
"3336","gowan","joe walsh"
"3337","benjamin orr","robert plant"
"3338","huey lewis & the news","pretenders"
"3339","tom cochrane","mudcrutch"
"3340","seals and crofts","rick springfield"
"3341","gary wright","loverboy"
"3342","bob welch","quarterflash"
"3343","paul davis","eddie money"
"3344","loggins & messina","night ranger"
"3345","player","starship"
"3346","atlanta rhythm section","don henley"
"3347","stephen bishop","the babys"
"3348","england dan & john ford coley","john parr"
"3349","dave mason","huey lewis & the news"
"3350","seals and crofts","head east"
"3351","firefall","gary wright"
"3352","loggins & messina","firefall"
"3353","stephen bishop","little river band"
"3354","pablo cruise","the babys"
"3355","art garfunkel","pablo cruise"
"3356","david gates","eddie money"
"3357","jd souther","poco"
"3358","bread","orleans"
"3359","rita coolidge","three dog night"
"3360","captain & tennille","paul davis"
"3361","melissa manchester","bachman-turner overdrive"
"3362","robbie dupree","billy squier"
"3363","pablo cruise","the j. geils band"
"3364","bertie higgins","huey lewis & the news"
"3365","bob welch","joe walsh"
"3366","christopher cross","boston"
"3367","little river band","bachman-turner overdrive"
"3368","england dan & john ford coley","styx"
"3369","melissa manchester","heart"
"3370","seals and crofts","sammy hagar"
"3371","captain & tennille","the babys"
"3372","gary wright","head east"
"3373","dan fogelberg","pat benatar"
"3374","robert john","night ranger"
"3375","david gates","john mellencamp"
"3376","steve winwood","jonathan edwards"
"3377","eddie money","dan fogelberg"
"3378","jackson browne","jd souther"
"3379","rick springfield","the ozark mountain daredevils"
"3380","firefall","bob welch"
"3381","the doobie brothers","crosby, stills & nash"
"3382","robert palmer","the ozark mountain daredevils"
"3383","huey lewis & the news","loggins & messina"
"3384","mike + the mechanics","dave mason"
"3385","little river band","jonathan edwards"
"3386","mr. mister","stephen stills"
"3387","ambrosia","chris hillman"
"3388","boz scaggs","new riders of the purple sage"
"3389","38 special","pablo cruise"
"3390","glass tiger","orleans"
"3391","atlanta rhythm section","crosby, stills & nash"
"3392","christopher cross","little river band"
"3393","shawn mullins","rick springfield"
"3394","joan osborne","mr. mister"
"3395","melissa etheridge","glenn frey"
"3396","joshua kadison","pat benatar"
"3397","bonnie raitt","starship"
"3398","shawn colvin","daryl hall & john oates"
"3399","natalie merchant","steve perry"
"3400","sheryl crow","the romantics"
"3401","jennifer warnes","38 special"
"3402","amanda marshall","kenny loggins"
"3403","carole king","corey hart"
"3404","tracy chapman","robert palmer"
"3405","bruce springsteen","the cars"
"3406","billy joel","the j. geils band"
"3407","carly simon","billy squier"
"3408","don henley","fine young cannibals"
"3409","cutting crew","the power station"
"3410","eric carmen","wang chung"
"3411","peter cetera","glenn frey"
"3412","paul carrack","howard jones"
"3413","quarterflash","abc"
"3414","daryl hall","the romantics"
"3415","starship","joe jackson"
"3416","christopher cross","bryan ferry"
"3417","sheena easton","thompson twins"
"3418","cutting crew","corey hart"
"3419","corey hart","john parr"
"3420","john parr","lou gramm"
"3421","starship","cutting crew"
"3422","go west","steve perry"
"3423","glenn frey","honeymoon suite"
"3424","glass tiger","red rider"
"3425","richard marx","platinum blonde"
"3426","lou gramm","wang chung"
"3427","paul young","gowan"
"3428","huey lewis & the news","benjamin orr"
"3429","kim carnes","huey lewis & the news"
"3430","nik kershaw","tom cochrane"
"3431","cutting crew","orleans"
"3432","richard marx","bob welch"
"3433","robert palmer","ambrosia"
"3434","nik kershaw","poco"
"3435","level 42","paul davis"
"3436","glenn frey","the ozark mountain daredevils"
"3437","cock robin","nicolette larson"
"3438","go west","player"
"3439","starship","atlanta rhythm section"
"3440","fine young cannibals","stephen bishop"
"3441","bruce hornsby","england dan & john ford coley"
"3442","james taylor","seals and crofts"
"3443","crosby, stills & nash","firefall"
"3444","don henley","paul davis"
