"","Vertex1","Vertex2"
"275","glenn frey","wang chung"
"276","pat benatar","steve winwood"
"277","starship","johnny hates jazz"
"278","daryl hall & john oates","huey lewis & the news"
"279","steve perry","glenn frey"
"280","the romantics","howard jones"
"281","38 special","abc"
"282","kenny loggins","the romantics"
"283","corey hart","joe jackson"
"284","robert palmer","nik kershaw"
"285","steve winwood","don henley"
"286","the cars","bryan ferry"
"287","the j. geils band","thompson twins"
"288","billy squier","rick springfield"
"289","fine young cannibals","corey hart"
"290","level 42","john parr"
"291","the power station","lou gramm"
"292","paul young","cutting crew"
"293","mike + the mechanics","mr. mister"
"294","mr. mister","loverboy"
"295","wang chung","rick springfield"
"296","steve winwood","steve perry"
"297","johnny hates jazz","john waite"
"298","huey lewis & the news","honeymoon suite"
"299","howard jones","red rider"
"300","abc","platinum blonde"
"301","the romantics","starship"
"302","joe jackson","glenn frey"
"303","nik kershaw","wang chung"
"304","don henley","gowan"
"305","bryan ferry","benjamin orr"
"306","thompson twins","huey lewis & the news"
"307","rick springfield","tom cochrane"
"308","corey hart","pablo cruise"
"309","john parr","orleans"
"310","lou gramm","seals and crofts"
"311","cutting crew","gary wright"
"312","mr. mister","bob welch"
"313","rick springfield","ambrosia"
"314","steve perry","pure prairie league"
"315","john waite","poco"
"316","honeymoon suite","paul davis"
"317","quarterflash","jefferson starship"
"318","red rider","the ozark mountain daredevils"
"319","platinum blonde","loggins & messina"
"320","starship","dan fogelberg"
"321","glenn frey","nicolette larson"
"322","wang chung","player"
"323","gowan","atlanta rhythm section"
"324","benjamin orr","stephen bishop"
"325","huey lewis & the news","england dan & john ford coley"
"326","tom cochrane","dave mason"
"327","pablo cruise","seals and crofts"
"328","orleans","firefall"
"329","seals and crofts","loggins & messina"
"330","gary wright","stephen bishop"
"331","bob welch","paul davis"
"332","little river band","orleans"
"333","ambrosia","pablo cruise"
"334","pure prairie league","england dan & john ford coley"
"335","paul davis","art garfunkel"
"336","the ozark mountain daredevils","david gates"
"337","loggins & messina","ambrosia"
"338","dan fogelberg","harry chapin"
"339","nicolette larson","jd souther"
"340","player","bread"
"341","atlanta rhythm section","pure prairie league"
"342","stephen bishop","rita coolidge"
"343","england dan & john ford coley","captain & tennille"
"344","dave mason","melissa manchester"
"345","seals and crofts","ambrosia"
"346","firefall","robbie dupree"
"347","loggins & messina","player"
"348","stephen bishop","pablo cruise"
"349","paul davis","stephen bishop"
"350","pablo cruise","nicolette larson"
"351","england dan & john ford coley","orleans"
"352","little river band","bertie higgins"
"353","art garfunkel","bob welch"
"354","poco","christopher cross"
"355","david gates","little river band"
"356","ambrosia","england dan & john ford coley"
"357","harry chapin","melissa manchester"
"358","jd souther","seals and crofts"
"359","bread","captain & tennille"
"360","pure prairie league","gary wright"
"361","rita coolidge","dan fogelberg"
"362","captain & tennille","robert john"
"363","melissa manchester","david gates"
"364","ambrosia","glenn frey"
"365","robbie dupree","steve winwood"
"366","player","eddie money"
"367","pablo cruise","bruce hornsby"
"368","stephen bishop","huey lewis & the news"
"369","firefall","jefferson starship"
"370","nicolette larson","john mellencamp"
"371","orleans","jackson browne"
"372","bertie higgins","rick springfield"
"373","bob welch","little river band"
"374","christopher cross","38 special"
"375","little river band","reo speedwagon"
"376","england dan & john ford coley","the j. geils band"
"377","melissa manchester","mr. mister"
"378","seals and crofts","joe walsh"
"379","captain & tennille","loverboy"
"380","gary wright","steve perry"
"381","robert john","mike + the mechanics"
"382","david gates","the doobie brothers"
"383","glenn frey","shawn mullins"
"384","eddie money","jackson browne"
"385","bruce hornsby","don henley"
"386","jefferson starship","james taylor"
"387","john mellencamp","melissa etheridge"
"388","jackson browne","joshua kadison"
"389","rick springfield","bonnie raitt"
"390","little river band","shawn colvin"
"391","38 special","natalie merchant"
"392","reo speedwagon","sheryl crow"
"393","mr. mister","amanda marshall"
"394","joe walsh","carole king"
"395","loverboy","tracy chapman"
"396","steve perry","van morrison"
"397","firefall","bruce springsteen"
"398","mike + the mechanics","billy joel"
"399","the doobie brothers","carly simon"
"400","glenn frey","cutting crew"
"401","robert palmer","steve perry"
"402","huey lewis & the news","rick springfield"
"403","mike + the mechanics","paul davis"
"404","jefferson starship","eric carmen"
"405","eddie money","steve winwood"
"406","little river band","corey hart"
"407","mr. mister","glass tiger"
"408","ambrosia","peter cetera"
"409","boz scaggs","paul carrack"
"410","the j. geils band","quarterflash"
"411","rick springfield","daryl hall"
"412","jackson browne","starship"
"413","38 special","john waite"
"414","glass tiger","lou gramm"
"415","wang chung","christopher cross"
"416","atlanta rhythm section","sheena easton"
"417","christopher cross","ambrosia"
"418","shawn mullins","cutting crew"
"419","bruce hornsby","corey hart"
"420","jackson browne","john parr"
"421","don henley","starship"
"422","joan osborne","mike + the mechanics"
"423","james taylor","wang chung"
"424","melissa etheridge","john waite"
