"","Vertex1","Vertex2","Vertex1 popularity","Vertex1 followers","Vertex1 profile","Vertex1 images","Vertex1 genre","Vertex2 popularity","Vertex2 followers","Vertex2 profile","Vertex2 images","Vertex2 genre"
"3955","platinum blonde","aldo nova",32,47696,"https://open.spotify.com/artist/5oxTKyMgf6POnzlqM1mduA","https://i.scdn.co/image/77ba4ce76f7dad558c3341da762ecc9f922c8295",NA,37,158745,"https://open.spotify.com/artist/3jtTd1E9mBxYYU987s32Fm","https://i.scdn.co/image/f938b0cf5d11116d48beeabb6683d3beeff1f2f8","canadian metal"
"3956","starship","red rider",63,851731,"https://open.spotify.com/artist/0kObWap02DEg9EAJ3PBxzf","https://i.scdn.co/image/485b9c07ffe6a1a34562c5dff6a231dae181a748","mellow gold",43,78257,"https://open.spotify.com/artist/4EGlaDAVZTNNknDdKHrHRp","https://i.scdn.co/image/119631d62c1c428a67af71aac0244d7a31419c86","classic canadian rock"
"3957","benjamin orr","glass tiger",37,13729,"https://open.spotify.com/artist/6FV7vG3YdZqITxCEbUK98Y","https://i.scdn.co/image/0752abd08d9bf1c28b84a2af6d3f43f7764e6732",NA,44,125310,"https://open.spotify.com/artist/53RaPTbZOx2mBoZD6LLWIv","https://i.scdn.co/image/ab67616100005174e9ce4b69d5919d5997715aa5","classic canadian rock"
"3958","tom cochrane","donnie iris",51,66190,"https://open.spotify.com/artist/5Jj4mqGYiplyowPLKkJLHt","https://i.scdn.co/image/ab6761610000517494f10b4dcc21643b18de8eef","classic canadian rock",39,31460,"https://open.spotify.com/artist/4kveDT8ylFciq1mdeYcIvw","https://i.scdn.co/image/94823ced14537956ccbef1488b764c4193a9a9af",NA
"3959","chilliwack","quarterflash",37,67241,"https://open.spotify.com/artist/3TkWygOTDBZXAdFDh9HOkG","https://i.scdn.co/image/68725bace2aedcc1b334420c342586d7d6b5e4dc","classic canadian rock",43,99129,"https://open.spotify.com/artist/3VJakY5Yw5phAOF4Bada5v","https://i.scdn.co/image/f5892fe0d5511efac5384da7e37d9ef4d613c139","mellow gold"
"3960","paul davis","pat benatar",44,117464,"https://open.spotify.com/artist/6EJmqnuK0r6qiAevFFiNNR","https://i.scdn.co/image/7fb9a7adf5fe2603da53a149407788ac8fd36b5d","bubblegum pop",61,1423094,"https://open.spotify.com/artist/43mhFhQ4JAknA7Ik1bOZuV","https://i.scdn.co/image/f881ba3e2dec37df305e172d9b5210b12fcd74cb","classic rock"
"3961","paul carrack","glass tiger",51,158119,"https://open.spotify.com/artist/0FFuvdY7fuiuTmHN9unYoz","https://i.scdn.co/image/ab676161000051749f475bbebf716a08ec2d540a","mellow gold",44,125310,"https://open.spotify.com/artist/53RaPTbZOx2mBoZD6LLWIv","https://i.scdn.co/image/ab67616100005174e9ce4b69d5919d5997715aa5","classic canadian rock"
"3962","john parr","glenn frey",50,82892,"https://open.spotify.com/artist/3Z1tibPKhUYWCno0IYicCN","https://i.scdn.co/image/ab6761610000517492cf232d26e49a42e015f998","mellow gold",55,514143,"https://open.spotify.com/artist/3vMWY1bUrmYoSoEWLiQWOZ","https://i.scdn.co/image/ab676161000051741e869d920d97389beb490b43","album rock"
"3963","sheena easton","'til tuesday",54,558169,"https://open.spotify.com/artist/5dcOK4stT4JDkP6Dqhbz5s","https://i.scdn.co/image/abf2b9f11006846cd589026a50e0a0f7b74322fc","mellow gold",42,135503,"https://open.spotify.com/artist/1L0y9srZMyh9XUnYGv37IP","https://i.scdn.co/image/7507653dc353f16124c90bbccd0f003aa45128ea","new romantic"
"3964","bruce hornsby","benjamin orr",54,336588,"https://open.spotify.com/artist/2iM28IgKg89v1o7BTQAVPo","https://i.scdn.co/image/ab67616100005174ede2122c4ca030de3a67f3ad","classic rock",37,13729,"https://open.spotify.com/artist/6FV7vG3YdZqITxCEbUK98Y","https://i.scdn.co/image/0752abd08d9bf1c28b84a2af6d3f43f7764e6732",NA
"3965","stephen bishop","mr. mister",52,213408,"https://open.spotify.com/artist/3JhRHqCi8HEzkJVWt19LtN","https://i.scdn.co/image/ab67616100005174ea31950c891f1fed632737fa","country rock",54,468326,"https://open.spotify.com/artist/7Bah8E0kCETqEpAHI6CPzQ","https://i.scdn.co/image/92309a20e867ae475181debd2b3bf2e2ce8e8d2c","mellow gold"
"3966","mike + the mechanics","red rider",57,578453,"https://open.spotify.com/artist/2yTUYhIf8fxptTIy3KLuJD","https://i.scdn.co/image/a6e2554ee5d46ddbfc3095ded51958cccfb0e766","art rock",43,78257,"https://open.spotify.com/artist/4EGlaDAVZTNNknDdKHrHRp","https://i.scdn.co/image/119631d62c1c428a67af71aac0244d7a31419c86","classic canadian rock"
"3967","ambrosia","tommy tutone",51,323593,"https://open.spotify.com/artist/0J2Ej2rMQyqaUX3G6MUISw","https://i.scdn.co/image/1bc5d2c53780cd995ec55ec666c7241c932a2232","art rock",45,42504,"https://open.spotify.com/artist/1n2LWYgwtGp7EzDapUoniE","https://i.scdn.co/image/bfe9f1cdf7b5bb4b69ba89c22f39c3e3f6593d39","new wave pop"
"3968","the motels","mike + the mechanics",42,137557,"https://open.spotify.com/artist/6scOultrkXrQsClcbGKM7e","https://i.scdn.co/image/6eeff1d22dd3e02d82e6571745ad9bafcacb7a9f","mellow gold",57,578453,"https://open.spotify.com/artist/2yTUYhIf8fxptTIy3KLuJD","https://i.scdn.co/image/a6e2554ee5d46ddbfc3095ded51958cccfb0e766","art rock"
"3969","quarterflash","go west",43,99129,"https://open.spotify.com/artist/3VJakY5Yw5phAOF4Bada5v","https://i.scdn.co/image/f5892fe0d5511efac5384da7e37d9ef4d613c139","mellow gold",48,221461,"https://open.spotify.com/artist/7bKupnlF7XOfR1En3K8oAL","https://i.scdn.co/image/f26cd438ecc03700b192ce8ad90e775897a2edfe","new romantic"
"3970","the power station","glenn frey",39,118512,"https://open.spotify.com/artist/1EemADz12kjlGwkpY4EINv","https://i.scdn.co/image/49a69e9b1bf30cc21a2d309cbfddabea07b213bd","new romantic",55,514143,"https://open.spotify.com/artist/3vMWY1bUrmYoSoEWLiQWOZ","https://i.scdn.co/image/ab676161000051741e869d920d97389beb490b43","album rock"
"3971","'til tuesday","glass tiger",42,135503,"https://open.spotify.com/artist/1L0y9srZMyh9XUnYGv37IP","https://i.scdn.co/image/7507653dc353f16124c90bbccd0f003aa45128ea","new romantic",44,125310,"https://open.spotify.com/artist/53RaPTbZOx2mBoZD6LLWIv","https://i.scdn.co/image/ab67616100005174e9ce4b69d5919d5997715aa5","classic canadian rock"
"3972","rick springfield","richard marx",58,701338,"https://open.spotify.com/artist/6IFXsrXBpwbIqtOUOiAa3p","https://i.scdn.co/image/ab676161000051745cc5140fd4e3342f3a6d25ff","australian rock",64,1086870,"https://open.spotify.com/artist/0grdhNhiRLFBaFVyybqsj6","https://i.scdn.co/image/ab6772690000dd225a23fa4fa56b6bb1483733d2","mellow gold"
"3973","the fixx","kim carnes",46,215956,"https://open.spotify.com/artist/53RkHTcl0SJZjpzqogkBf4","https://i.scdn.co/image/ab67616100005174029479ed32ffc0cd2ae54735","art rock",60,262460,"https://open.spotify.com/artist/5PN2aHIvLEM98XIorsPMhE","https://i.scdn.co/image/ab676161000051741ba0c0b42be17d19a8d67d15","new romantic"
"3974","thompson twins","lou gramm",50,569299,"https://open.spotify.com/artist/5jVeqi3PNaTOajfvBa4uFn","https://i.scdn.co/image/ab67616100005174e1d9c03cc2d86e3babc83c59","new romantic",44,101887,"https://open.spotify.com/artist/7CnmC3gRgLev4I609BrSxj","https://i.scdn.co/image/31f98adfdcaaf31cbaca219ee21f133520d9ab82","mellow gold"
"3975","animotion","huey lewis & the news",40,39943,"https://open.spotify.com/artist/6eQHjJJa52LUGjBKP5UPos","https://i.scdn.co/image/1e7d8ce833fdbd3fb3c1cda0cb632e10ec7494ed","new wave",62,1342993,"https://open.spotify.com/artist/7A9yZMTrFZcgEWAX2kBfK6","https://i.scdn.co/image/ab676161000051748dfb95eb4902b28206963614","classic rock"
"3976","wang chung","red rider",52,276537,"https://open.spotify.com/artist/6Zh3xrWlA0SA9Fsfj9AVwm","https://i.scdn.co/image/3cc6fe2f6ee10954302d1b24dacc140585fedbd8","mellow gold",43,78257,"https://open.spotify.com/artist/4EGlaDAVZTNNknDdKHrHRp","https://i.scdn.co/image/119631d62c1c428a67af71aac0244d7a31419c86","classic canadian rock"
"3977","boy meets girl","platinum blonde",46,25961,"https://open.spotify.com/artist/02Xpf8IlAGeelWAQZP33kQ","https://i.scdn.co/image/957877d27d136e6f15baf895507807d42953fe94",NA,32,47696,"https://open.spotify.com/artist/5oxTKyMgf6POnzlqM1mduA","https://i.scdn.co/image/77ba4ce76f7dad558c3341da762ecc9f922c8295",NA
"3978","robert tepper","quarterflash",47,29841,"https://open.spotify.com/artist/5T1bhiyED6hokaKTechcKI","https://i.scdn.co/image/95b8441dffc9e895a3d386ff4b52db2b74c2257d",NA,43,99129,"https://open.spotify.com/artist/3VJakY5Yw5phAOF4Bada5v","https://i.scdn.co/image/f5892fe0d5511efac5384da7e37d9ef4d613c139","mellow gold"
